geoid,name,state,lat,lon
13273,Terrell County,GA,31.7772,-84.4394
13275,Thomas County,GA,30.8646,-83.9198
13277,Tift County,GA,31.457,-83.5259
13279,Toombs County,GA,32.1178,-82.3306
13281,Towns County,GA,34.9025,-83.7323
13283,Treutlen County,GA,32.4096,-82.5709
13285,Troup County,GA,33.0345,-85.0284
13287,Turner County,GA,31.7248,-83.6203
13289,Twiggs County,GA,32.6658,-83.4259
13291,Union County,GA,34.8333,-83.9893
13293,Upson County,GA,32.8818,-84.2923
13295,Walker County,GA,34.7358,-85.3055
13297,Walton County,GA,33.7839,-83.7318
13299,Ware County,GA,31.0509,-82.4215
13301,Warren County,GA,33.4192,-82.688
13303,Washington County,GA,32.9718,-82.7981
13305,Wayne County,GA,31.5478,-81.9124
13307,Webster County,GA,32.0467,-84.5538
13309,Wheeler County,GA,32.1053,-82.7338
13311,White County,GA,34.6442,-83.743
13313,Whitfield County,GA,34.8017,-84.9685
13315,Wilcox County,GA,31.9627,-83.4383
13317,Wilkes County,GA,33.779,-82.7479
13319,Wilkinson County,GA,32.8043,-83.1755
13321,Worth County,GA,31.5518,-83.85
16001,Ada County,ID,43.4515,-116.2444
16003,Adams County,ID,44.877,-116.4616
16005,Bannock County,ID,42.6929,-112.229
16007,Bear Lake County,ID,42.2859,-111.3275
16009,Benewah County,ID,47.2185,-116.6335
16011,Bingham County,ID,43.2164,-112.3992
16013,Blaine County,ID,43.3942,-113.9554
16015,Boise County,ID,43.9873,-115.7151
16017,Bonner County,ID,48.3246,-116.6274
16019,Bonneville County,ID,43.3952,-111.6219
16021,Boundary County,ID,48.7731,-116.5247
16023,Butte County,ID,43.6851,-113.1776
16025,Camas County,ID,43.5026,-114.7721
16027,Canyon County,ID,43.6258,-116.7091
16029,Caribou County,ID,42.7861,-111.5443
16031,Cassia County,ID,42.2823,-113.6263
16033,Clark County,ID,44.2902,-112.3546
16035,Clearwater County,ID,46.6726,-115.6535
16037,Custer County,ID,44.2734,-114.2523
16039,Elmore County,ID,43.3947,-115.4712
16041,Franklin County,ID,42.1736,-111.823
16043,Fremont County,ID,44.2181,-111.4844
16045,Gem County,ID,44.0615,-116.3988
16047,Gooding County,ID,42.9732,-114.8214
16049,Idaho County,ID,45.8496,-115.4673
16051,Jefferson County,ID,43.797,-112.3186
16053,Jerome County,ID,42.6914,-114.2621
16055,Kootenai County,ID,47.676,-116.6959
16057,Latah County,ID,46.8189,-116.731
16059,Lemhi County,ID,44.9285,-113.887
16061,Lewis County,ID,46.2363,-116.4238
16063,Lincoln County,ID,42.9908,-114.1531
16065,Madison County,ID,43.7886,-111.657
16067,Minidoka County,ID,42.8572,-113.6398
16069,Nez Perce County,ID,46.3338,-116.7609
16071,Oneida County,ID,42.1839,-112.5204
16073,Owyhee County,ID,42.5729,-116.1897
16075,Payette County,ID,44.0024,-116.7502
16077,Power County,ID,42.6941,-112.8444
16079,Shoshone County,ID,47.3477,-115.8851
16081,Teton County,ID,43.761,-111.2118
16083,Twin Falls County,ID,42.3523,-114.6656
16085,Valley County,ID,44.856,-115.6181
16087,Washington County,ID,44.4482,-116.7978
17001,Adams County,IL,39.9861,-91.195
17003,Alexander County,IL,37.1837,-89.3495
17005,Bond County,IL,38.8859,-89.4366
17007,Boone County,IL,42.319,-88.8243
17009,Brown County,IL,39.9621,-90.7503
17011,Bureau County,IL,41.4013,-89.5284
17013,Calhoun County,IL,39.1643,-90.6663
17015,Carroll County,IL,42.0709,-89.9242
17017,Cass County,IL,39.9692,-90.2457
17019,Champaign County,IL,40.139,-88.197
17021,Christian County,IL,39.5455,-89.2796
17023,Clark County,IL,39.3323,-87.7917
17025,Clay County,IL,38.7468,-88.4823
17027,Clinton County,IL,38.6063,-89.4262
17029,Coles County,IL,39.5137,-88.2208
17031,Cook County,IL,41.8943,-87.6455
17033,Crawford County,IL,39.0028,-87.7606
17035,Cumberland County,IL,39.2731,-88.2406
17037,DeKalb County,IL,41.8946,-88.769
17039,De Witt County,IL,40.1815,-88.9019
17041,Douglas County,IL,39.7661,-88.2229
17043,DuPage County,IL,41.8521,-88.086
17045,Edgar County,IL,39.679,-87.7471
17047,Edwards County,IL,38.4171,-88.0479
17049,Effingham County,IL,39.0479,-88.5928
17051,Fayette County,IL,39.0011,-89.0179
17053,Ford County,IL,40.5965,-88.2246
17055,Franklin County,IL,37.9919,-88.9263
17057,Fulton County,IL,40.4652,-90.2023
17059,Gallatin County,IL,37.7687,-88.228
17061,Greene County,IL,39.3554,-90.3877
17063,Grundy County,IL,41.2924,-88.4011
17065,Hamilton County,IL,38.0852,-88.539
17067,Hancock County,IL,40.4013,-91.1688
17069,Hardin County,IL,37.5179,-88.2661
17071,Henderson County,IL,40.8145,-90.9412
17073,Henry County,IL,41.35,-90.1308
17075,Iroquois County,IL,40.7489,-87.8336
17077,Jackson County,IL,37.7861,-89.3812
17079,Jasper County,IL,39.0049,-88.1507
17081,Jefferson County,IL,38.3008,-88.9242
17083,Jersey County,IL,39.0802,-90.3614
17085,Jo Daviess County,IL,42.3624,-90.2115
